iter	Passed	Remaining
1392	227592	589323
1393	227761	589173
1394	227914	588984
1395	228075	588814
1396	228232	588633
1397	228393	588463
1398	228557	588302
1399	228721	588140
1400	228882	587970
1401	229049	587817
1402	229197	587614
1403	229370	587476
1404	229535	587316
1405	229700	587156
1406	229861	586988
1407	230056	586905
1408	230218	586737
1409	230382	586576
1410	230551	586428
1411	230720	586277
1412	230878	586101
1413	231050	585958
1414	231212	585792
1415	231382	585646
1416	231548	585489
1417	231709	585319
1418	231870	585150
1419	232048	585024
1420	232213	584863
1421	232377	584702
1422	232545	584550
1423	232710	584390
1424	232869	584217
1425	233025	584034
1426	233181	583852
1427	233347	583695
1428	233514	583541
1429	233686	583399
1430	233839	583209
1431	234002	583044
1432	234166	582884
1433	234330	582721
1434	234489	582545
1435	234649	582374
1436	234805	582194
1437	234968	582027
1438	235132	581867
1439	235316	581755
1440	235470	581568
1441	235631	581398
1442	235793	581231
1443	235944	581038
1444	236106	580871
1445	236275	580721
1446	236355	580353
1447	236504	580154
1448	236672	580003
1449	236836	579840
1450	236994	579664
1451	237148	579479
1452	237317	579329
1453	237479	579161
1454	237650	579017
1455	237817	578864
1456	237988	578718
1457	238140	578527
1458	238296	578346
1459	238456	578175
1460	238616	578004
1461	238772	577822
1462	238936	577662
1463	239095	577487
1464	239262	577333
1465	239425	577170
1466	239597	577026
1467	239752	576843
1468	239918	576685
1469	240081	576521
1470	240244	576359
1471	240410	576200
1472	240577	576047
1473	240737	575874
1474	240900	575712
1475	241066	575554
1476	241231	575395
1477	241392	575226
1478	241558	575068
1479	241719	574899
1480	241881	574733
1481	242036	574550
1482	242192	574370
1483	242371	574243
1484	242535	574083
1485	242697	573915
1486	242872	573780
1487	243035	573615
1488	243202	573461
1489	243355	573273
1490	243513	573096
1491	243669	572918
1492	243833	572755
1493	243985	572566
1494	244161	572433
1495	244329	572279
1496	244496	572124
1497	244658	571959
1498	244822	571797
1499	244984	571629
1500	245154	571481
1501	245310	571303
1502	245472	571135
1503	245616	570927
1504	245778	570761
1505	245926	570562
1506	246087	570395
1507	246246	570221
1508	246408	570054
1509	246565	569877
1510	246735	569729
1511	246896	569560
1512	247058	569393
1513	247217	569220
1514	247376	569048
1515	247537	568878
1516	247703	568722
1517	247867	568559
1518	248040	568419
1519	248199	568247
1520	248363	568083
1521	248521	567908
1522	248688	567755
1523	248840	567566
1524	249008	567412
1525	249167	567240
1526	249343	567106
1527	249503	566935
1528	249668	566775
1529	249825	566598
1530	249994	566446
1531	250146	566259
1532	250308	566093
1533	250471	565928
1534	250651	565803
1535	250812	565633
